agentid,yearnumber,weeknumber,Lotto,Lotto Plus1,Euro Millions,Euro Millions Plus,ScratchCard
1d56694e,2016,15,923,233,305,132,2048.04
44f823c7,2016,16,162,41.5,64,28,163.98
2807f2cd,2016,13,707,176.5,366,173,1234.08
2fabf9f2,2016,14,1556,390,704,354,1515.06
8eac1b65,2016,14,274,68,244,120,0
0da2253f,2016,15,450,109.5,158,74,604.08
866825ba,2016,17,1607,383,763,318,2100.06
30569561,2016,14,192,45.5,73,37,135
b1f374d8,2016,14,1183,282,382,180,566.1
12c9cca5,2016,16,1783,394,752,296,396
820000000,2016,13,586,130.5,386,142,260.1
9fe70a45,2016,17,2399,483.5,892,297,1117.08
abd2afce,2016,13,327,78,231,83,784.98
37ba6393,2016,17,5999,1410,2489,1036,3673.08
2d375147,2016,13,284,64.5,161,62,243
6f38dddb,2016,17,546,130,320,153,1315.08
2d208c36,2016,15,215,49.5,125,52,450
dcfcfcc0,2016,15,507,124.5,211,111,1164.06
aa0fb13a,2016,14,493,115.5,276,108,1081.08
fa72e0bb,2016,17,611,146,184,91,541.98
970bfd54,2016,17,1893,432,747,279,829.08
bcf7f0fd,2016,15,221,49.5,149,71,273.96
7a045b8b,2016,13,417,106.5,196,76,0
e19f8635,2016,13,329,66.5,196,68,0
8fd44c67,2016,13,248,61,128,58,-20.9448
db11525a,2016,16,407,101.5,196,90,1225.08
ac74a440,2016,15,3577,831.5,1806,777,2290.14
00dd76e2,2016,14,1522,321.5,673,303,2019.06
6c1d4057,2016,16,2208,542,756,354,2381.04
908a626a,2016,17,887,191,287,109,306
f2a64063,2016,15,2234,520,1102,483,2018.16
7a90569b,2016,13,527,128.5,281,132,2134.08
41923333,2016,13,1675,375,579,243,613.98
5e5aa71c,2016,13,891,215,399,175,1000.98
aac899c6,2016,14,1303,303.5,391,173,550.08
0e94a2ee,2016,17,1777,425,522,231,1189.08
ba312b0c,2016,17,452,112.5,108,42,253.98
7760be3a,2016,15,13,2,11,4,90
54806684,2016,13,111,28.5,34,19,216
515ee062,2016,15,568,127,195,98,170.1
bb83f365,2016,15,611,128,244,118,838.98
48500000,2016,14,164,40,93,28,298.98
c1f1cec3,2016,15,415,97.5,213,91,1533.06
d91d5e89,2016,14,1083,240,465,150,874.08
adc8c3b1,2016,16,307,72.5,97,30,648
2308b721,2016,17,295,74.5,71,29,0
5d941bb0,2016,15,2228,541.5,809,389,2037.06
bda537ab,2016,17,946,219,412,171,865.08
7ad0c26b,2016,16,750,174.5,426,188,324
e139811c,2016,17,1991,483.5,892,412,1108.08
ae24c1e0,2016,13,2063,449.5,741,314,2476.08
8d253b26,2016,14,523,128.5,244,111,714.06
87ad2bdd,2016,16,1181,272,809,370,0
72a51b63,2016,15,86,22,36,20,0
6b5c8568,2016,16,121,26,58,24,163.98
4f5cafd3,2016,15,2691,563,929,348,3073.14
d88a3610,2016,17,599,143.5,274,113,498.06
fc7c983b,2016,17,1522,344.5,822,338,433.98
16c235c5,2016,16,548,104.5,211,89,-208.89
f747fe93,2016,13,105,24.5,58,30,0
62f7bbfe,2016,17,188,44,108,46,0
90cf8b0a,2016,13,974,240,242,113,386.1
a3c17fd8,2016,17,911,199.5,660,194,343.98
d45771a2,2016,16,233,59.5,49,27,-244.0665
e74e9375,2016,16,1538,366.5,406,186,1389.06
376c1963,2016,17,899,199.5,642,270,135
0e25502b,2016,13,1138,276.5,631,302,3226.14
542f064b,2016,14,1505,364.5,691,268,685.98
4650ad64,2016,15,1607,353,793,313,662.985
548a7ec5,2016,14,1440,332.5,678,331,2010.06
ac99c4c5,2016,13,1503,357.5,708,259,928.08
498b6f1b,2016,13,2992,685,1288,505,3118.14
7f0f6d4d,2016,15,1983,481.5,734,323,2579.04
648c23eb,2016,17,1738,428,677,277,1596.96
f300fb7e,2016,17,425,99.5,123,61,90
57caae3d,2016,13,348,86,152,43,0
8b5f1fb5,2016,15,678,160.5,386,156,633.06
a96e385f,2016,14,415,85.5,224,83,0
36d6c30c,2016,15,78,19,44,24,0
ba7cf2b9,2016,15,223,56,69,30,216
5c9e2da7,2016,16,1652,412,669,340,1072.08
639de220,2016,16,235,57,314,138,1477.08
915a2bc3,2016,16,635,160,325,166,1135.08
309af923,2016,16,631,150.5,366,172,775.98
efb78919,2016,14,701,168.5,327,121,658.08
22f6cdd5,2016,17,286,73,125,61,783
256b034f,2016,13,1079,262.5,526,223,1018.08
7845c902,2016,17,401,96,88,46,433.98
2d20fcae,2016,17,921,201.5,677,284,459
00aef9c3,2016,14,339,85.5,149,74,0
61ce2ec0,2016,16,540,136,143,71,531
a20f8019,2016,13,539,115,369,156,666
3579275c,2016,17,1207,276,522,236,1027.98
b4f7aab3,2016,13,515,124.5,588,109,0
2cb25509,2016,16,2236,522.5,977,420,1119.96
df1cd9e7,2016,13,2434,559,995,361,748.98
3b81602c,2016,13,307,73.5,108,57,476.1
8d6efd1d,2016,15,466,114,303,135,568.98
8491461e,2016,16,5293,1216.5,1720,793,3388.14
123921f1,2016,13,1613,371.5,669,301,1524.06
af2013d0,2016,13,311,74,309,141,504
f582897d,2016,13,476,114.5,264,118,170.1
95175448,2016,16,464,117,288,132,640.08
5f9a6a0c,2016,14,307,76.5,143,62,0
ab988e65,2016,13,989,214,408,176,676.98
41468472,2016,16,815,198,513,200,1801.98
33b80ec4,2016,15,674,146.5,690,203,360
cd389739,2016,17,1421,329.5,697,293,1045.08
d363f110,2016,14,844,205.5,461,171,1470.06
eefa92b9,2016,17,829,200.5,338,133,658.98
b4487a47,2016,16,488,119.5,338,149,1108.08
6.87E+049,2016,17,631,156,150,74,1036.08
2503a07f,2016,16,623,145,415,172,685.08
b7882cf9,2016,17,499,121.5,187,79,216
169f60af,2016,17,358,86,128,44,0
42b7f148,2016,13,1068,264.5,498,229,2090.16
f989dce7,2016,15,1107,274.5,482,235,633.06
13a903de,2016,17,517,130.5,226,107,523.98
423f8202,2016,14,3927,939,1610,690,2723.04
aa3f4bfe,2016,14,286,69,73,39,595.98
7130761c,2016,13,441,100.5,156,74,334.08
c1fc19b8,2016,17,593,131.5,303,144,1675.08
9e3ae359,2016,16,1554,358.5,813,326,865.08
618a17b7,2016,13,917,200.5,482,190,730.08
f04b305c,2016,15,1519,358.5,991,389,2515.14
58551544,2016,13,905,227,572,259,0
e435c36b,2016,14,791,186.5,266,113,379.98
52fe94e9,2016,16,1826,394.5,728,326,1804.14
3342d96b,2016,17,227,53,101,51,0
8cefa65a,2016,16,297,73,209,102,0
30c0e579,2016,16,252,58.5,235,78,180
8157bf71,2016,16,1225,256.5,454,199,766.08
0d4fa0a2,2016,15,925,216,338,161,1342.08
9421fbb9,2016,15,1274,307.5,347,175,1153.98
ff4fd405,2016,14,1720,364.5,561,205,180
9c3c1082,2016,13,1450,318,778,218,640.08
78248d40,2016,16,578,139.5,224,102,436.545
68394ba5,2016,17,868,208,239,107,694.98
0516297c,2016,17,323,73.5,119,57,478.08
adce4a60,2016,17,517,119,414,101,1097.1
bfdb228c,2016,17,1226,300,458,208,548.1
fd7ad538,2016,15,433,105.5,191,80,829.08
fd60ea1d,2016,13,184,44,110,44,430.2
c5cb7d8a,2016,13,564,144,294,120,964.08
b3d14633,2016,16,525,122.5,191,68,316.755
0e9fd68f,2016,15,203,51,84,38,285.345
da851fb0,2016,13,274,68,84,41,180
ec1959f1,2016,14,693,172.5,270,124,559.98
52ebf352,2016,17,940,221.5,487,200,1441.08
12c03930,2016,13,601,136.5,443,159,1458
7c4a10a6,2016,13,952,228.5,1207,288,1657.08
ff708057,2016,13,1958,491,774,367,2211.3
f02e86b6,2016,17,225,57.5,75,41,0
dd296f17,2016,15,1136,269,450,180,991.98
ae0e73b2,2016,17,705,167,437,178,0
f80b13ea,2016,17,1350,316,386,185,1072.08
e2c4eb31,2016,13,1213,292.5,410,189,784.08
f6e0c45a,2016,14,313,60,316,136,170.1
dcd13c97,2016,14,237,60.5,147,75,-58.725
3f1f6011,2016,15,227,56,108,53,271.98
10556467,2016,14,350,83.5,211,85,163.98
774486c4,2016,15,672,155,296,147,334.08
25ced7af,2016,15,352,90,259,115,0
d9aba81b,2016,16,805,185,303,140,163.98
687dbe99,2016,13,1381,340.5,651,293,1280.16
863d7913,2016,14,3637,855,1050,416,2543.22
fd244be7,2016,17,433,106,193,94,757.98
7ada26f7,2016,15,537,124,207,90,306
4a027c4f,2016,14,421,105,191,89,270
34a5d23d,2016,17,423,104.5,189,73,1227.06
5c3c6b9a,2016,14,711,170,563,219,1180.08
7717746e,2016,13,380,96,217,106,135
bc1added,2016,17,215,52,158,86,379.98
3c64e47c,2016,15,178,45.5,60,33,351
a01dda64,2016,15,2056,472,1966,520,1261.98
891c4794,2016,14,676,163.5,533,208,1216.08
e0f483b5,2016,15,399,90,244,48,379.98
b03d472f,2016,13,421,104,145,67,2044.98
3a9c22cb,2016,14,586,130.5,318,92,586.98
0cfef722,2016,13,991,227.5,507,224,0
d8bd1462,2016,17,1811,445,848,357,3712.14
37e2a39e,2016,15,3008,646.5,1212,480,3027.06
263700cd,2016,17,1295,319.5,345,157,1065.96
01f19e07,2016,13,154,37,84,29,0
1d632347,2016,14,3243,752.5,1512,585,1948.14
f833e904,2016,16,262,65.5,95,49,0
40f27f4a,2016,13,464,104.5,281,77,0
250a3ecd,2016,17,570,133.5,150,62,379.98
f6e65b4e,2016,15,691,162,296,122,0
dab2139d,2016,13,2091,487.5,925,368,1290.06
4ed1f3a4,2016,15,3408,362.5,1403,446,1081.08
c825f8cc,2016,16,109,24,108,57,0
660e441c,2016,15,993,236.5,535,240,1162.08
9d50d051,2016,16,656,163.5,287,146,694.98
5d8c90ad,2016,13,981,230,601,253,1225.08
6ca8e8ef,2016,17,2167,507.5,1004,410,1713.06
352ee9c8,2016,13,652,151,428,179,993.06
f41e088e,2016,15,258,61.5,226,112,386.1
45c2ca3a,2016,13,245,59,101,52,0
50d493b8,2016,15,1536,338,839,242,1000.08
bb8a7115,2016,16,4410,1009,1849,717,1550.16
ab0864d8,2016,15,323,80.5,90,45,379.98
4ec090c7,2016,16,1307,316.5,798,343,1360.98
0fe99557,2016,14,1089,253,417,156,1279.08
1f914807,2016,17,499,125.5,196,71,306
924455f8,2016,15,482,116,149,62,550.08
e153d00d,2016,16,72,18.5,73,20,-212.49
ee04edd9,2016,13,260,61.5,103,40,602.1
0dca7ec6,2016,16,691,162.5,288,115,379.98
b04a13ee,2016,15,1526,359.5,658,296,2686.14
c77bfb96,2016,16,470,113,290,141,396
faa550ad,2016,17,392,89,84,33,163.98
de7365da,2016,13,260,57.5,195,62,630
9da42f5c,2016,13,1213,295.5,684,297,1605.06
435c5a8d,2016,15,860,212.5,426,186,892.08
6c79f126,2016,15,1658,398,520,228,1180.08
c77e2e68,2016,15,758,157.5,408,187,640.08
0baa845f,2016,13,1132,265.5,614,246,1135.08
cdee07b5,2016,14,1111,261,723,247,1344.06
223c825d,2016,15,1352,330,734,314,2073.06
f7c4123d,2016,17,1626,363.5,471,186,514.98
fe9eb15f,2016,16,117,29,71,26,491.94
11057585,2016,17,241,51.5,55,26,0
942dbc74,2016,13,401,99,150,74,1117.08
bbd08537,2016,15,182,46.5,68,34,163.98
821cc845,2016,13,909,223,353,153,90
735bcb16,2016,13,190,45,156,75,0
3e43f279,2016,14,1795,404.5,789,344,2100.06
c20b0076,2016,16,1330,321,653,245,711
27000000,2016,16,176,39,90,41,595.98
768042d9,2016,16,360,91,172,88,0
618640f1,2016,13,2546,574.5,1457,568,3262.14
aa401b8b,2016,17,958,222.5,395,172,180
fcbb2baa,2016,15,360,87,196,81,739.08
55f0bb60,2016,15,1176,281,793,379,1288.98
69ea30ff,2016,15,1764,383.5,1243,427,234
6c34ebbc,2016,15,221,53,217,89,424.08
272c3323,2016,16,768,185,250,120,305.1
0ad75cc4,2016,14,674,164,283,110,1207.98
9aefb98c,2016,14,1930,465.5,881,384,2911.14
ecba3722,2016,14,823,188.5,390,155,0
8426ed88,2016,13,597,149,266,129,514.98
85bbaeca,2016,15,1095,264.5,750,313,982.98
b562bec3,2016,16,256,65.5,139,65,522
09992fb9,2016,13,241,57.5,136,60,838.98
e553f071,2016,15,248,61.5,117,40,0
72fba9b7,2016,14,431,107,248,118,225
ed9131b8,2016,16,2050,485,986,425,1963.26
9f719bd7,2016,15,1713,382.5,369,172,1254.96
20bff430,2016,17,248,62.5,163,69,216
2674859d,2016,14,905,193,276,123,0
987faa12,2016,15,201,51.5,66,31,334.08
ce2e30a0,2016,16,501,123.5,292,120,298.98
291232c1,2016,16,2150,512.5,736,325,477.81
7c0ae7be,2016,15,1405,335.5,632,285,351
d3de90dd,2016,16,995,237,504,196,874.98
31f8e41f,2016,17,427,102.5,167,62,791.1
006cc4ad,2016,16,864,210.5,677,303,766.98
a240c319,2016,14,544,134,380,133,910.08
a14617cf,2016,16,1701,418.5,566,279,1702.98
9b7ecd30,2016,13,542,132,220,112,829.08
4890d29e,2016,15,1932,458,1010,358,1569.96
7c89c9b7,2016,16,1738,428.5,610,279,1524.06
5d01603e,2016,13,525,133,250,87,910.08
2bc47b06,2016,14,1509,348,612,198,424.08
232a2fe1,2016,17,3130,740,1573,583,1918.08
789c5d2d,2016,16,644,137,388,107,41.58
3830d64b,2016,14,2036,483,877,409,1281.96
3562923e,2016,17,1642,378.5,559,259,1378.08
5a3cb8d6,2016,15,446,113,272,141,0
8b2c4970,2016,17,1991,460,850,369,1578.06
9a413a37,2016,17,1383,338.5,656,305,1180.08
b5fd84d4,2016,16,1076,260,437,149,775.08
26b9a62b,2016,16,560,139,209,96,610.2
b7e137e4,2016,13,1491,375,774,343,1695.06
23e19373,2016,14,872,202.5,272,123,959.94
619ed022,2016,16,1750,388.5,509,185,469.98
fd5d5a85,2016,14,403,92.5,121,49,0
5f3b81be,2016,13,703,172,535,200,108
eab5e128,2016,14,343,84.5,261,104,170.1
c952443b,2016,15,1379,333.5,850,354,2147.04
5f8441ca,2016,14,442,112,99,51,730.08
2.61E+040,2016,17,229,56,112,46,0
55422078,2016,16,2312,558.5,894,383,2329.02
a06c39ec,2016,16,1726,391.5,780,287,1425.06
59325264,2016,17,488,115,202,79,1486.08
30489b81,2016,13,3741,934.5,1464,614,1912.14
2ab5057f,2016,13,1101,268.5,599,224,604.98
4aa69a64,2016,15,209,53.5,104,56,360
f87b6e72,2016,13,701,169,460,209,0
de39eb5f,2016,14,2922,694,1118,440,3345.12
a7deea02,2016,15,513,125,228,119,784.08
78818537,2016,16,687,148.5,450,126,0
e09d0a81,2016,15,868,216.5,603,249,0
8fde9c94,2016,17,2065,493.5,945,386,1135.08
67bd5609,2016,17,1515,234,467,216,0
d23faf93,2016,16,1221,290,586,205,1804.14
09dc361c,2016,14,139,34.5,49,27,0
7c370d55,2016,13,903,221,331,141,811.98
2fa95fac,2016,15,380,93,213,114,1515.06
e3050756,2016,13,1256,291.5,647,289,0
cb62b025,2016,16,860,211,340,177,343.98
45fe8853,2016,15,166,41.5,80,37,334.08
2f2979bf,2016,15,448,112,360,159,1018.08
1d35f6d0,2016,16,266,65,130,58,343.98
0c17e07b,2016,17,1072,263.5,384,124,396
190575ed,2016,15,2608,588.5,1175,468,1517.94
4619a861,2016,16,429,107.5,198,91,396
056ff55a,2016,15,658,156,340,139,984.06
925118db,2016,16,1548,370.5,835,367,1045.98
f0b2ebb8,2016,17,1323,307,393,176,685.98
311f64b2,2016,13,701,175,399,190,1126.08
6ac5dc58,2016,15,1507,346.5,544,159,712.08
6408899b,2016,16,995,235,585,279,1109.7
4e0b848f,2016,13,174,38.5,149,59,170.1
ad5c0b99,2016,16,1142,284.5,739,363,1182.96
fc1f3fb0,2016,14,966,238,388,173,180
1557a02e,2016,16,241,61.5,128,57,441
b20bcf66,2016,17,390,95,292,87,0
013d8ff0,2016,13,472,117,285,135,0
fa9962f5,2016,13,713,181,235,109,739.98
dfccdd73,2016,13,1113,277.5,539,238,2090.16
ebf4d672,2016,17,1324,314,478,214,1326.06
27344520,2016,16,113,28,44,24,0
ae3ff17b,2016,17,299,72.5,93,51,253.98
feffe3c5,2016,15,1093,255,386,156,1126.98
f577dfa2,2016,15,1007,209.5,425,157,514.08
15caa7c1,2016,14,656,159.5,329,165,1061.82
3ff2b1e4,2016,13,791,197,336,149,1261.98
51dbf374,2016,15,390,57.5,49,27,270
2a009f6a,2016,13,392,82,266,72,649.98
1d079897,2016,13,3916,915.5,2029,745,3497.04
076a60b0,2016,16,1609,312.5,485,225,838.08
4eb5aa70,2016,17,180,46,97,37,658.98
050c63e5,2016,15,480,95,224,108,183.285
f849b5a1,2016,17,268,62.5,141,59,829.08
5697a229,2016,13,505,124.5,292,128,1100.16
1f9b955e,2016,16,684,163.5,355,143,0
a6565f2e,2016,17,1074,267.5,504,212,1823.04
27418434,2016,15,1428,309.5,715,244,559.08
3c2f6087,2016,13,1203,275.5,410,174,0
578edd56,2016,17,2706,638.5,1242,468,910.08
475fc9b3,2016,13,1383,338,478,210,3284.1
ae61489f,2016,14,3216,751,1573,567,2858.04
c3bc65b7,2016,14,460,106.5,218,101,523.98
c8a7d26d,2016,15,776,188.5,531,224,0
7ce8ee72,2016,16,2945,648,1606,612,2180.16
9b4ad098,2016,17,535,131,253,124,559.98
910dbc18,2016,15,2877,673,1499,630,2084.04
6718706b,2016,16,2189,470.5,931,332,1873.98
4cd81a04,2016,13,1056,243,684,240,469.98
a3fee9b0,2016,15,162,36,90,45,108
3f1331fd,2016,17,2887,624,953,459,1504.98
979ba7b1,2016,14,733,176.5,391,167,1389.06
6b8afbbe,2016,15,356,74.5,579,163,163.98
12d349a8,2016,17,1221,301.5,787,364,396
70e0224d,2016,14,1248,311,399,183,1000.08
4defdffc,2016,13,254,65,211,103,170.1
2029b93a,2016,16,1348,332.5,796,362,1983.06
22698692,2016,15,280,70,149,71,649.98
78112034,2016,15,2544,537,1232,421,991.08
ff28af3f,2016,16,407,96,156,73,984.06
59724541,2016,15,448,101,404,185,0
eab3538c,2016,13,2314,542,934,415,1704.06
df124c52,2016,13,270,60,80,38,379.98
461640,2016,14,229,56,171,44,170.1
2d44b3a3,2016,13,129,33,29,16,52.2
95f0a74b,2016,16,754,173,384,143,1774.98
2e47f14c,2016,14,1846,436.5,603,270,1594.08
31a770fd,2016,16,209,45.5,160,63,163.98
7accf872,2016,15,260,60,161,68,757.98
b61ec183,2016,13,956,241.5,285,111,1144.08
9d3978b3,2016,16,842,182,213,93,1045.08
698a8a2a,2016,16,676,168.5,336,151,1124.1
3835d217,2016,13,976,238,333,129,874.98
84b1ad24,2016,14,2099,497.5,975,459,1517.04
787a19e1,2016,14,968,232,489,211,469.98
308abd90,2016,17,327,79.5,163,74,433.98
c2ad2460,2016,14,760,173.5,362,168,613.98
334a7aa0,2016,13,2412,517.5,1124,377,1398.06
bee7c59f,2016,15,1203,285,404,181,163.98
c7d28ce6,2016,16,470,116,305,126,1388.7
318000000000,2016,14,331,84.5,125,63,216
6d419845,2016,16,760,179.5,524,270,1054.08
6ed0f972,2016,17,858,203.5,344,140,0
0f648572,2016,13,307,78.5,145,78,180
daf7a9c2,2016,15,511,125,237,97,343.98
e43dcc55,2016,13,2687,644,1017,508,1695.06
20e4aceb,2016,17,1632,384,342,137,559.98
0f36a83f,2016,15,156,36.5,77,29,0
b54c3565,2016,13,1958,443.5,655,268,2048.04
4943ed18,2016,17,1060,251,375,173,176.4
342bf42c,2016,14,262,65,97,49,170.1
a1692b0e,2016,17,785,178.5,395,150,1328.94
81015140,2016,13,337,83,218,100,656.1
8670dbb2,2016,13,1201,249,412,120,307.98
4727082f,2016,13,2957,685.5,1216,523,2758.14
18c39ba5,2016,16,133,29,38,18,0
0f2a9938,2016,14,1164,272,377,142,973.08
91ac874e,2016,16,586,133.5,452,177,838.08
88b11347,2016,13,2928,711.5,921,387,1991.16
235cb19c,2016,15,742,183,465,213,1812.06
efe8b2b6,2016,13,288,73.5,123,58,0
4a5c1c97,2016,14,868,218,333,165,1045.98
9d4278cb,2016,14,1209,298.5,563,201,433.98
e243dc26,2016,17,1687,410,647,306,1677.8592
a0c1bb80,2016,15,1219,296,511,214,487.98
29a72326,2016,17,223,57,58,32,360
98ed4b98,2016,17,1225,308.5,515,266,1270.98
35b86006,2016,15,1542,372,1081,525,1623.06
f3e85b8b,2016,15,488,117,237,68,856.98
830ba7f4,2016,17,846,197,620,228,955.08
90247490,2016,14,442,103.5,237,107,97.2
9201e13a,2016,14,1089,255,487,204,1155.78
4800f6bd,2016,16,1258,294,631,227,379.98
5a99737a,2016,13,1001,247.5,463,217,1396.08
fcaa8a91,2016,14,315,73.5,456,126,865.98
85d2e53e,2016,14,840,195,1350,197,1729.08
f3da5a3d,2016,13,472,114.5,218,83,766.8
62b5d553,2016,13,362,82.5,163,64,694.08
c84eedab,2016,17,1160,274.5,390,175,559.08
046785da,2016,15,395,88.5,150,50,163.98
c9db6505,2016,13,758,170,310,135,1893.06
052da8a4,2016,14,2383,549.5,1534,552,2679.12
52119415,2016,15,3096,730,1361,491,1947.06
a8d79b51,2016,15,378,86.5,178,95,1477.98
681de897,2016,13,1377,336,458,214,1470.96
55c4b51c,2016,15,444,106.5,257,88,334.08
161d94ee,2016,15,707,168.5,415,148,1414.08
1af64b0a,2016,14,501,115.5,152,71,386.1
fde3e3bd,2016,14,907,209,426,185,712.08
e82462db,2016,17,599,148,211,90,433.98
f610cbee,2016,14,823,173,277,107,170.1
8eade6f5,2016,15,876,215,570,229,0
de5283aa,2016,13,3214,696,1289,579,1922.04
6255cdb7,2016,14,1383,326,759,287,928.98
35be3d5f,2016,17,660,154.5,231,91,0
4207c307,2016,15,270,69,90,43,180
40c4599f,2016,17,315,74.5,86,38,784.08
43ca960b,2016,15,1667,397.5,544,251,2415.24
77604cd1,2016,15,488,115,213,112,820.08
5aae6aa2,2016,13,1716,395.5,798,344,2021.04
39adcd82,2016,14,833,208.5,285,125,1234.08
ce5e9f21,2016,13,652,159.5,331,159,1144.08
7f2ef83c,2016,17,1021,250,831,177,1200.06
9f264d04,2016,15,1375,343,364,173,1990.08
799f2aec,2016,14,186,41,106,34,0
0f78e3be,2016,15,1321,308,586,255,1378.08
cf1005c0,2016,13,1015,237,555,191,1163.16
f245a0df,2016,15,889,201.5,570,229,739.98
277b8209,2016,13,392,98,123,51,0
ca598326,2016,17,1658,310,500,208,1119.96
06e63e70,2016,14,1650,378.5,1045,410,1470.06
2723093f,2016,14,1642,401,592,282,782.1
e123996c,2016,13,356,83,84,44,432
d0f854d2,2016,14,733,151.5,498,180,559.08
1714ec5e,2016,17,1113,222,439,185,903.96
e899fdad,2016,13,1268,299.5,1238,448,1074.06
3fd25e6e,2016,17,117,30,36,20,-531
ec75f627,2016,15,2240,560,743,334,1164.06
c28d5ebc,2016,17,2973,689,1135,379,2896.02
fa44b879,2016,15,1062,256.5,415,183,795.96
0b3fc31f,2016,13,725,165.5,417,167,1143
a4720886,2016,14,307,74.5,174,58,476.1
0bc01b4d,2016,15,341,85,145,70,838.98
30c2e2ef,2016,16,339,75.5,224,93,379.98
0906591a,2016,15,141,36,207,107,334.08
349e7abe,2016,14,1405,344.5,675,304,1334.16
830b4619,2016,15,1209,295.5,388,193,1425.06
0bb76dc1,2016,14,983,244.5,408,178,561.96
e0f0e7b7,2016,14,1160,281,517,242,865.8
08a0c898,2016,13,401,93.5,141,72,0
fc10fba9,2016,15,488,114,277,116,577.98
c3bfdcf8,2016,17,1177,275.5,590,243,0
fc8237d3,2016,16,1185,269,351,145,1785.96
db981109,2016,13,880,212.5,320,162,784.98
93fa845a,2016,17,1321,325.5,402,170,901.08
4d283522,2016,14,548,132,259,116,1506.06
cfaff577,2016,14,164,39.5,53,26,270
99319bba,2016,17,2661,615,925,395,1885.14
302575f2,2016,13,999,228,494,200,1045.98
bdeec1da,2016,16,968,235,366,170,550.08
a94cf1d2,2016,13,1252,303.5,491,192,3722.04
4daa4a6e,2016,13,1901,458,1172,394,1953.18
fec84087,2016,14,1421,340,677,263,946.08
65347d20,2016,13,1556,378.5,518,232,633.06
aa7748df,2016,16,80,15,66,28,0
aac8107e,2016,17,229,54.5,180,44,379.98
2d1f7aa5,2016,16,1595,393.5,636,259,1218.96
6e193971,2016,15,148,36,57,31,350.1
5cf773dd,2016,16,919,226,329,162,1549.08
c54f0276,2016,17,1187,252.5,419,130,972
f7e7f152,2016,14,580,130,478,185,0
ef883a82,2016,17,638,149.5,312,139,1740.06
fc342c4e,2016,13,1417,330.5,612,222,1261.08
4669f9df,2016,15,662,144.5,217,81,0
b7975ae8,2016,14,319,80.5,224,98,360
c3781113,2016,13,1991,481,732,312,3350.16
2a8e7a79,2016,14,215,49.5,134,51,298.98
47b114e8,2016,15,223,54,80,33,135
29e5b485,2016,15,1430,324.5,638,247,343.98
3cd04d1e,2016,17,180,43,47,19,1532.16
83d34d2a,2016,14,519,131,333,124,1295.1
71f8bcbf,2016,13,811,202,395,178,1074.96
ae40d517,2016,17,866,206.5,287,133,2777.04
fce49883,2016,15,1683,425,682,295,1171.08
632a9908,2016,16,1275,304,482,185,1486.08
715ac4e0,2016,14,292,66,750,396,-176.22
cd4a2fce,2016,17,1256,298,605,270,3611.16
94532484,2016,14,711,167,281,98,2088.18
b47daec5,2016,15,235,47,73,26,216
3695b582,2016,13,682,159.5,268,93,476.91
f507a1e2,2016,15,246,62,220,101,388.98
2db80fcf,2016,16,1268,301.5,513,237,486
7e215935,2016,15,1893,415.5,890,356,1218.06
f3cdf240,2016,14,1064,262,410,186,993.96
742d86c9,2016,17,2059,498.5,1015,482,748.98
a1629447,2016,17,640,153,382,164,820.08
5f2c7051,2016,15,137,30,110,52,163.98
ad7af1db,2016,13,152,38,152,75,386.1
e1beea46,2016,14,705,174,334,158,784.98
7e7e932d,2016,14,2285,541,1032,405,1299.06
960ca741,2016,16,1566,363.5,559,204,1027.08
86e565ac,2016,15,540,129.5,318,96,170.1
5ce6d612,2016,16,491,118,180,69,604.98
eb4e6128,2016,13,613,145.5,590,136,1180.08
7940000,2016,14,337,82.5,119,59,-178.479
b599bc68,2016,15,591,149,277,131,640.08
d8c3ee83,2016,15,819,203.5,423,185,901.98
c2ee4e6e,2016,16,192,47,121,53,0
28427507,2016,17,478,115,160,81,964.08
a0878854,2016,15,1187,273,596,214,469.08
41a0a4f6,2016,15,699,157.5,312,140,523.98
60cedb64,2016,17,923,222,220,95,298.98
8ec7d3df,2016,13,409,90,195,94,865.98
21d359e3,2016,16,535,127.5,673,291,793.98
f35e08d2,2016,16,1599,392.5,610,294,2612.16
97a57f0b,2016,13,392,96,172,70,820.08
1eb16215,2016,14,760,183,393,187,1792.08
060a1aa6,2016,17,315,72.5,158,74,379.98
b336b08e,2016,15,288,72,106,47,0
f41f7b46,2016,14,311,76.5,114,50,386.1
3062036f,2016,13,858,207.5,461,215,1450.08
8c3af9fe,2016,14,1217,272.5,483,194,1984.32
6352acba,2016,17,1875,446.5,745,331,820.08
62ce523a,2016,17,746,168,233,107,856.08
9980830d,2016,13,1877,411.5,793,282,1125
c0c3a269,2016,16,1248,276,373,131,514.98
0deb331f,2016,17,1113,262.5,393,156,1459.08
39a7e476,2016,14,1462,334,631,268,658.98
f160c93c,2016,17,1681,403.5,458,202,1299.96
ae5f4c87,2016,16,921,205,539,240,0
f07fbdae,2016,15,503,120.5,231,113,585.9
b0dd216b,2016,17,1726,385.5,644,248,1792.08
c35f35e2,2016,13,1593,379.5,796,312,1083.96
7d183912,2016,15,135,28.5,71,34,270
15620c96,2016,15,280,63.5,195,85,0
609c629c,2016,17,672,166,230,84,0
8cfe763c,2016,17,731,176,316,144,964.08
dd884582,2016,14,1087,229,436,139,1236.06
d5cb4b6a,2016,14,1752,415,885,354,2181.06
11be3aff,2016,16,615,152.5,620,278,0
